year,month,fare_group,general_route,count,pct
2025,11,Freeride,5,228,0.04239494235775381
2025,11,Freeride,6,654,0.03935965334617236
2025,11,Freeride,7,427,0.023144885901674888
2025,11,Freeride,8,142,0.05203371198241114
2025,11,Freeride,9,532,0.05392802838317284
2025,11,Freeride,11,218,0.020183316359596335
2025,11,Freeride,86,28,0.011991434689507495
2025,11,Freeride,96,56,0.048109965635738834
2025,11,Regular,1,6356,0.15879678209164044
2025,11,Regular,2,4950,0.1460823373173971
2025,11,Regular,4,137,0.21711568938193343
2025,11,Regular,5,1088,0.20230568984752695
2025,11,Regular,6,4423,0.2661892152142513
2025,11,Regular,7,2824,0.15307062713426203
2025,11,Regular,8,264,0.09673873213631366
2025,11,Regular,9,2179,0.2208819057273188
2025,11,Regular,11,1172,0.10850847143782984
2025,11,Regular,86,998,0.42740899357601714
2025,11,Regular,96,410,0.35223367697594504
2025,11,School or University or Employer Sponsored,1,24120,0.6026083046020086
2025,11,School or University or Employer Sponsored,2,20662,0.609768334071123
2025,11,School or University or Employer Sponsored,4,297,0.4706814580031696
2025,11,School or University or Employer Sponsored,5,2241,0.41669765712160656
2025,11,School or University or Employer Sponsored,6,4211,0.2534304285026481
2025,11,School or University or Employer Sponsored,7,9682,0.5247980920375088
2025,11,School or University or Employer Sponsored,8,1395,0.5111762550384756
2025,11,School or University or Employer Sponsored,9,3403,0.3449569183983781
2025,11,School or University or Employer Sponsored,11,7623,0.7057679844458846
2025,11,School or University or Employer Sponsored,86,1030,0.4411134903640257
2025,11,School or University or Employer Sponsored,96,368,0.3161512027491409
2025,12,Discount,1,8836,0.3199015242025995
2025,12,Discount,2,6904,0.2588967637904526
2025,12,Discount,4,194,0.30265210608424337
2025,12,Discount,5,1878,0.35541256623769873
2025,12,Discount,6,7124,0.43383472382924304
2025,12,Discount,7,5712,0.3299064340995726
2025,12,Discount,8,887,0.4116009280742459
2025,12,Discount,9,3683,0.36353765669726584
2025,12,Discount,11,1876,0.23798046429024483
2025,12,Discount,86,233,0.10296067167476801
2025,12,Discount,96,285,0.2777777777777778
2025,12,Freeride,1,652,0.023605227906303174
2025,12,Freeride,2,799,0.02996212547343158
2025,12,Freeride,4,39,0.060842433697347896
2025,12,Freeride,5,256,0.04844814534443603
2025,12,Freeride,6,768,0.0467693806710919
2025,12,Freeride,7,390,0.022525124176966616
2025,12,Freeride,8,72,0.03341067285382831
2025,12,Freeride,9,444,0.04382588095943145
2025,12,Freeride,11,181,0.02296080172523151
2025,12,Freeride,86,16,0.007070260715863898
2025,12,Freeride,96,85,0.08284600389863547
2025,12,Regular,1,7043,0.25498714746026574
2025,12,Regular,2,5719,0.21445981925225935
2025,12,Regular,4,184,0.2870514820592824
2025,12,Regular,5,1202,0.2274791824375473
2025,12,Regular,6,4923,0.2997990378174289
2025,12,Regular,7,3018,0.17430980709252628
2025,12,Regular,8,310,0.14385150812064965
2025,12,Regular,9,2671,0.2636462343302734
2025,12,Regular,11,1408,0.17861220347583406
2025,12,Regular,86,1250,0.552364118426867
2025,12,Regular,96,315,0.30701754385964913
2025,12,School or University or Employer Sponsored,1,11090,0.4015061004308316
2025,12,School or University or Employer Sponsored,2,13245,0.4966812914838564
2025,12,School or University or Employer Sponsored,4,224,0.3494539781591264
2025,12,School or University or Employer Sponsored,5,1948,0.36866010598031795
2025,12,School or University or Employer Sponsored,6,3606,0.21959685768223616
2025,12,School or University or Employer Sponsored,7,8194,0.4732586346309345
2025,12,School or University or Employer Sponsored,8,886,0.4111368909512761
2025,12,School or University or Employer Sponsored,9,3333,0.3289902280130293
2025,12,School or University or Employer Sponsored,11,4418,0.5604465305086895
2025,12,School or University or Employer Sponsored,86,764,0.3376049491825011
2025,12,School or University or Employer Sponsored,96,341,0.33235867446393763
